Ranking,CourseName,City,State,Architect,Year,Cost,Coordinates
55,The Harvester Golf Club,Rhondes,IA,Keith Foster,2000,99-129,"[41.876433,-93.210503]"
56,Pumpkin Ridge Golf Club (Ghost Creek),North Plains,OR,Bob Cupp/John Fought,1992,55-141,"[45.615683,-123.00253]"
57,Golden Horseshow Golf Club (Gold),Williamsburg,VA,Robert Trent Jones Sr.,1963,65-169,"[37.26374,-76.697477]"
58,CordeValle,San Martin,CA,Robert Trent Jones Jr. ,1999,225-400,"[37.066514,-121.627603]"
59,PGA West (TPC Stadium),La Quinta,CA,Pete Dye,1986,85-239,"[33.652184,-116.259375]"
60,Cascata,Boulder City,NV,Rees Jones,2000,245-425,"[35.977033,-114.891788]"
61,Karsten Creek Golf Club,Stillwater,OK,Tom Fazio,1994,325,"[36.102169,-97.1185795]"
62,Crosswater at Sunriver Resort,Sunriver,OR,Bob Cupp/John Fought,1995,99-199,"[43.853105,-121.447364]"
63,Longaberger,Nashport,OH,Arthur Hills,1999,59-149,"[40.088689,-82.234594]"
64,Atunyote at Turning Stone Resort,Verona,NY,Tom Fazio,2004,200-225,"[43.094481,-75.537394]"
65,Linville Golf Club,Linville,NC,Donald Ross,1924,125,"[36.064307,-81.868806]"
66,Wolf Creek Golf Club,Mesquite,NV,Dennis Ryder,2000,85-195,"[36.831763,-114.060511]"
67,Reynolds Plantation(Oconee),Greensboro,GA,Rees Jones,2001,149-245,"[33.468478,-83.24751]"
68,Wynn Las Vegas,Las Vegas,NV,Tom Fazio,2005,300-500,"[36.126058,-115.160666]"
69,The Broadmoor (East),Colorado Springs,CO,Donald Ross/Robert Trent Jones Sr.,1918/1965,160-255,"[38.784703,-104.848253]"
70,French Lick Resort (Pete Dye),French Lick,IN,Pete Dye,2009,350-380,"[38.571029,-86.636778]"
71,The Greenbrier (Old White TPC),White Sulpher Springs,WV,C.B. Macdonald/ Lester George,1914/2007,195-375,"[37.783509,-80.316889]"
72,Hammock Beach Resort (Ocean),Palm Coast,FL,Jack Nicklaus,2000,85-169,"[29.602358,-81.188196]"
73,Innisbrook Resort (Copperhead),Palm Harbor,FL,Lawrence Packard/Roger Packard,1972,200-280,"[28.111213,-82.752714]"
74,The Prarie Club (Dunes),Valentine,NE,Tom Lehman/Chris Brands,2010,95-220,"[42.726302,-100.798796]"
75,Atlantic City Country Club,Northfield,NJ,Reid/Park Jr./Flynn/Doak,1897/1923/1999,75-225,"[39.370544,-74.541297]"
76,Omni Barton Creek resort (Fazio Canyons),Austin,TX,Tom Fazio,2000,95-250,"[30.291267,-97.855373]"
77,True Blue,Pawley Islands,SC,Mike Strantz,1998,79-165,"[33.444022,-79.146198]"
78,The Glen Club,Glenview,IL,Tom Fazio,2001,90-190,"[42.087754,-87.827361]"
79,Whistling Straits Golf Club (Irish),Haven,WI,Pete Dye,2000,190-220,"[43.8478,-87.735203]"
80,The Links at Lighthouse Sound,Bishopville,MD,Arthur Hills,2000,55-169,"[38.40872,-75.105985]"
81,Marquette Golf Club (Greywalls),Marquette,MI,Mike DeVries,2005,75-130,"[46.53837,-87.425551]"
82,Tullymore Golf Resort,Stanwood,MI,Jim Engh,2002,75-160,"[43.564437,-85.322789]"
83,Wilderness Club,Eureka,MT,Nick Faldo/Brian Curley,2009,79-129,"[48.931177,-115.131322]"
84,Lake of Isles (North) ,North Stonington,CT,Rees Jones,2005,119-180,"[41.484664,-71.94498]"
85,Barefoot Resort (Love),North Myrtle Beach,SC,Davis Love III,2000,90-185,"[33.806604,-78.756544]"
86,Ak-Chin Southern Dunes Golf Club,Maricopa,AZ,Schmidt-Curley/Fred Couples,2002,29-189,"[33.085701,-112.08831]"
