ClassName,CourseName,City,State
grande_dunes,Grande Dunes,Myrtle Beach,SC
french_lick_resort_pete_dye,French Lick Resort (Pete Dye),West Baden Springs,IN
milwaukee,Milwaukee,River Hills,WI
red_hawk,Red Hawk,East Tawas,MI
the_golf_club_at_redlands_mesa,The Golf Club at Redlands Mesa,Grand Junction,CO
raven_at_sabino_springs,Raven at Sabino Springs,Tucson,AZ
wild_horse_golf_club,Wild Horse Golf Club,Gothenburg,NE
pinon_hills,Pinon Hills,Farmington,NM
ocean_forest,Ocean Forest,Sea Island,GA
gamble_sands,Gamble Sands,Brewster,WA
tpc_san_antonioatt_oaks,TPC San Antonio(AT&T Oaks),San Antonio,TX
black_mesa,Black Mesa,Espa̱ola,NM
whispering_pines,Whispering Pines,Trinity,TX
la_quinta_resort_mountain,La Quinta Resort (Mountain),La Quinta,CA
koolau,Koolau,Kaneohe,HI
avalon_lakes,Avalon Lakes,Warren,OH
scioto,Scioto,Upper Arlington,OH
cordevalle,CordeValle,San Martin,CA
shenandoah_at_turning_stone_resort,Shenandoah at Turning Stone Resort,Verona,NY
beechtree,Beechtree,Aberdeen,MD
mattaponi_springs,Mattaponi Springs,Ruther Glen,VA
the_concession,The Concession,Bradenton,FL
pinehurst_no2,Pinehurst (No.2),Pinehurst,NC
congressional_blue,Congressional (Blue),Bethesda,MD
the_prairie_club_dunes,The Prairie Club (Dunes),Valentine,NE
prairie_dunes,Prairie Dunes,Hutchinson,KS
trump_international,Trump International,West Palm Beach,FL
bay_harbor_golf_club_links_quarry,Bay Harbor Golf Club (Links_Quarry),Petoskey,MI
turtle_bay_palmer,Turtle Bay (Palmer),Kahuku,HI
barefoot_resort_dye,Barefoot Resort (Dye),North Myrtle Beach,SC
gold_mountain_golf_complex_olympic,Gold Mountain Golf Complex (Olympic),Bremerton,WA
wilmington_south,Wilmington (South),Wilmington,DE
hidden_creek,Hidden Creek,Egg Harbor Township,NJ
hawks_ridge,Hawks Ridge,Cumming,GA
lost_dunes,Lost Dunes,Bridgman,MI
monterey_peninsula_shore,Monterey Peninsula (Shore),Del Monte Forest,CA
rustic_canyon_golf_course,Rustic Canyon Golf Course,Moorpark,CA
