ClassName,CourseName,City,State
harbour_town,Harbour Town,Hilton Head Island,SC
gray_plantation,Gray Plantation,Lake Charles,LA
the_virtues_club,The VIrtues Club,Nashport,OH
eugene_country_club,Eugene Country Club,Eugene,OR
apache_stronghold,Apache Stronghold,San Carlos,AZ
sutton_bay,Sutton Bay,Agar,SD
the_quarry_at_la_quinta,The Quarry at La Quinta,La Quinta,CA
peachtree,Peachtree,Atlanta,GA
olympic_lake,Olympic (Lake),San Francisco,CA
poipu_bay,Poipu Bay,Koloa,HI
kapalua_resort_plantation,Kapalua Resort (Plantation),Lahaina,HI
old_town_club,Old Town Club,Winston-Salem,NC
kiva_dunes,Kiva Dunes,Gulf Shores,AL
the_classic_at_maddens_resort,The Classic at Madden's Resort,Brainerd,MN
the_bluffs_on_thompson_creek,The Bluffs on Thompson Creek,Saint Francisville,LA
boston_golf_club,Boston Golf Club,Hingham,MA
crooked_stick,Crooked Stick,Carmel,IN
bellerive,Bellerive,St. Louis,MO
kiawah_island_club_cassique,Kiawah Island Club (Cassique),Johns Island,SC
the_prairie_clubpines,The Prairie Club(Pines),Valentine,NE
grandfather,Grandfather,Linville,NC
yale_university,Yale University,New Haven,CT
camp_creek,Camp Creek,Panama City Beach,FL
lehigh,Lehigh,Allentown,PA
kiawah_island_ocean,Kiawah Island (Ocean),Kiawah Island,SC
reflection_bay,Reflection Bay,Henderson,NV
aronimink,Aronimink,Newton Square,PA
chicago,Chicago,Wheaton,IL
red_sky_ranch_golf_club_norman,Red Sky Ranch Golf Club (Norman),Edwards,CO
baltimore_five_farms_east,Baltimore (Five Farms East),Lutherville-Timonium,MD
oakmont,Oakmont,Plum,PA
wolf_creek_golf_club,Wolf Creek Golf Club,Mesquite,NV
briars_creek,Briar's Creek,Johns Island,SC
circling_raven_golf_club,Circling Raven Golf Club,Worley,ID
pine_hill,Pine Hill,Bedminster Township,NJ
branson_creek,Branson Creek,Hollister,MO
the_alotian_club,The Alotian Club,Roland,AR
buffalo_ridge_golf_club,Buffalo Ridge Golf Club,Hollister,MO
tidewater,Tidewater,North Myrtle Beach,SC
osprey_meadows,Osprey Meadows,Donnelly,ID
shoal_creek,Shoal Creek,Kansas City,MO
riviera,Riviera,Los Angeles,CA
quaker_ridge,Quaker Ridge,Scarsdale,NY
the_greenbrier_old_white_tpc,The Greenbrier (Old White TPC),White Sulphur Springs,WV
national_golf_links_of_america,National Golf Links of America,Southampton,NY
crosswater_at_sunriver_resort,Crosswater at Sunriver Resort,Bend,OR
olde_stonewall,Olde Stonewall,Ellwood City,PA
tullymore_golf_resort,Tullymore Golf Resort,Canadian Lakes,MI
nantucket,Nantucket,Nantucket,MA
the_golf_courses_of_lawsonialinks,The Golf Courses of Lawsonia(Links),Green Lake,WI
estancia,Estancia,Scottsdale,AZ
sea_island_golf_clubseaside,Sea Island Golf Club(Seaside),Saint Simons Island,GA
the_highland_course_at_primland_resort,The Highland Course at Primland Resort,Meadows of Dan,VA
the_links_of_north_dakota,The Links of North Dakota,Tioga,ND
fox_chapel,Fox Chapel,Pittsburgh,PA
seminole,Seminole,Tallahassee,FL
dallas_national,Dallas National,Dallas,TX
tobacco_road_golf_club,Tobacco Road Golf Club,Sanford,NC
sandpiper_golf_club,Sandpiper Golf Club,Goleta,CA
reynolds_plantationoconee,Reynolds Plantation(Oconee),Greensboro,GA
inverness,Inverness,Toledo,OH
we_ko_pa_golf_club_saguaro,We-Ko-Pa Golf Club (Saguaro),Scottsdale,AZ
shinnecock_hills,Shinnecock Hills,Southampton,NY
southern_hills,Southern Hills,Tulsa,OK
the_harvester_golf_club,The Harvester Golf Club,Rhodes,IA
sage_valley,Sage Valley,Graniteville,SC
tpc_deere_run,TPC Deere Run,East Moline,IL
capitol_hilljudge,Capitol Hill(Judge),Prattville,AL
makai_golf_club,Makai Golf Club,Princeville,HI
hudson_national,Hudson National,Croton-on-Hudson,NY
canyata,Canyata,Marshall,IL
sugarloaf,Sugarloaf,Carrabassett Valley,ME
innisbrook_resort_copperhead,Innisbrook Resort (Copperhead),Palm Harbor,FL
bel_air,Bel-Air,Los Angeles,CA
valhalla,Valhalla,Louisville,KY
reynolds_plantation_great_waters,Reynolds Plantation (Great Waters),Greensboro,GA
pine_needles_lodge_and_golf_club,Pine Needles Lodge and Golf Club,Southern Pines,NC
talking_stick_north,Talking Stick (North),Scottsdale,AZ
glen_mills,Glen Mills,Glen Mills,PA
trump_national_golf_club_los_angeles,Trump National Golf Club Los Angeles,Rancho Palos Verdes,CA
barefoot_resort_fazio,Barefoot Resort (Fazio),North Myrtle Beach,SC
pine_meadow,Pine Meadow,Libertyville,IL
lakota_canyon_ranch__golf_club,Lakota Canyon Ranch & Golf Club,New Castle,CO
mayacama,Mayacama,Santa Rosa,CA
winged_foot_west,Winged Foot (West),Mamaroneck,NY
nemacolin_woodlands_mystic_rock,Nemacolin Woodlands (Mystic Rock),Farmington,PA
wannamoisett,Wannamoisett,East Providence,RI
kaluhyat_golf_club,Kaluhyat Golf Club,Verona,NY
tpc_sawgrass_players_stadium,TPC Sawgrass (Players Stadium),Ponte Vedra Beach,FL
limestone_springs,Limestone Springs,Oneonta,AL
san_francisco_golf_club,San Francisco Golf Club,San Francisco,CA
kingsmill_resort_river,Kingsmill Resort (River),Williamsburg,VA
winged_foot_east,Winged Foot (East),Mamaroneck,NY
wailea_golf_clubgold,Wailea Golf Club(Gold),Kihei,HI
bulle_rock,Bulle Rock,Havre de Grace,MD
pacific_dunes,Pacific Dunes,Bandon,OR
