name,lat,lon,city,url,clat,clon,cname,cid,cthumb,slope,rating,par,holes,yardage
Koolau,21.374826,-157.792865,Kaneohe,http://www.golfadvisor.com//courses/14591-ko-olau-golf-club/,21.37371215,-157.7932245,Ko'olau Golf Club,14591,//cdn.gdol.com/app/courses/image/thumb/1864.jpg,153,78.2,72,18,7310
Kapalua Resort (Plantation),21.006677,-156.639,Lahaina,http://www.golfadvisor.com//courses/14595-kapalua-resort-the-plantation-course/,21.00669619,-156.6395932,Kapalua Resort - The Plantation Course,14595,//cdn.gdol.com/app/courses/image/thumb/1623.jpg,144,77.2,73,18,7411
Poipu Bay,21.880434,-159.429829,Koloa,http://www.golfadvisor.com//courses/14596-poipu-bay-golf-course/,21.87799669,-159.4379342,Poipu Bay Golf Course,14596,//cdn.gdol.com/app/courses/image/thumb/56922.jpg,134,73.9,72,18,7123
Boyne Highlands (Heather),45.470705,-84.930932,Harbor Springs,http://www.golfadvisor.com//courses/14608-the-heather-at-boyne-highlands-resort/,45.47185378,-84.93216991,The Heather at Boyne Highlands Resort,14608,//cdn.gdol.com/app/courses/image/thumb/66812.jpg,141,74.6,72,18,7154
Piping Rock,40.859655,-73.58396,Locust Valley,http://www.golfadvisor.com//courses/14613-piping-rock-club/,40.85582496,-73.58642578,Piping Rock Club,14613,//cdn.gdol.com/app/courses/image/thumb/38786.jpg,134,73.7,71,18,6877
Bandon Dunes,43.188221,-124.39017,Bandon,http://www.golfadvisor.com//courses/14615-bandon-dunes/,43.18838328,-124.3897069,Bandon Dunes,14615,//cdn.gdol.com/app/courses/image/thumb/67658.jpg,143,74.1,72,18,6732
Pumpkin Ridge Golf Club (Ghost Creek),45.615683,-123.0025,North Plains,http://www.golfadvisor.com//courses/14616-pumpkin-ridge-golf-club-ghost-creek-course/,45.61331696,-122.9958916,Pumpkin Ridge Golf Club - Ghost Creek Course,14616,//cdn.gdol.com/app/courses/image/thumb/2970.jpg,146,74.5,71,18,6834
Crosswater at Sunriver Resort,43.853105,-121.44736,Bend,http://www.golfadvisor.com//courses/14619-crosswater-at-sunriver-resort/,43.85283098,-121.447506,Crosswater at Sunriver Resort,14619,//cdn.gdol.com/app/courses/image/thumb/2244.jpg,145,76.5,72,18,7683
Nemacolin Woodlands (Mystic Rock),39.799167,-79.52694,Farmington,http://www.golfadvisor.com//courses/14621-nemacolin-woodlands-resort-mystic-rock-course/,39.80893165,-79.53895569,Nemacolin Woodlands Resort - Mystic Rock Course,14621,//cdn.gdol.com/app/courses/image/thumb/65283.jpg,149,77,72,18,7526
Wild Dunes (Links),32.81396,-79.725195,Isle of Palms,http://www.golfadvisor.com//courses/14623-links-at-wild-dunes-golf-links/,32.81370702,-79.72259045,Links at Wild Dunes Golf Links,14623,//cdn.gdol.com/app/courses/image/thumb/47125.jpg,131,73.2,72,18,6709
Tidewater,33.85037,-78.624238,North Myrtle Beach,http://www.golfadvisor.com//courses/14624-tidewater-golf-club/,33.853012,-78.625324,Tidewater Golf Club,14624,//cdn.gdol.com/app/courses/image/thumb/87.jpg,144,74.3,72,18,7044
